City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Le Port,RE,77.0,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
591,Jiexiu,CN,78.57,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
593,Marrakesh,MA,71.67,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
597,Tubuala,PA,79.34,overcast clouds,9.5167,-79.0333,Río Nabagana
605,Oskarshamn,SE,71.98,broken clouds,57.2645,16.4484,Best Western Hotel Corallen
606,Nizhniy Kuranakh,RU,75.65,light rain,58.8353,125.4869,Park Pobedy
607,Itarema,BR,76.68,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
610,Horta,PT,71.24,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
616,Kuandian,CN,78.58,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
621,Kharp,RU,76.48,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
623,Iztapa,GT,76.53,broken clouds,13.9333,-90.7075,Villas de Puerto Viejo
629,Basco,PH,78.94,moderate rain,20.4487,121.9702,Nathaniel's Lodge
632,Horsham,GB,75.69,clear sky,51.064,-0.3272,Springfields Hotel
633,Gonaives,HT,78.39,overcast clouds,19.45,-72.6833,Vertières Doux Séjour
637,Sinnamary,GF,74.64,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
640,Joshimath,IN,72.01,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
643,Sao Joao De Pirabas,BR,75.09,clear sky,-0.7747,-47.1772,POUSADA SOL E MAR
645,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
651,Tonantins,BR,70.79,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
653,Russell,US,74.91,overcast clouds,32.3502,-85.1999,Macs
654,Sao Luis,BR,79.0,clear sky,-2.5297,-44.3028,Solar das Pedras Hostel
656,Washington,US,73.8,clear sky,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
658,Carson City,US,72.43,haze,39.1638,-119.7674,Courtyard by Marriott Carson City
668,Soe,ID,78.24,overcast clouds,-9.8607,124.284,Dena Hotel
675,Gornopravdinsk,RU,77.86,scattered clouds,60.05,69.9,Burovik
680,Salinopolis,BR,77.99,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
