City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Corinto,GR,2021-07-17 21:13:22,37.9407,22.9573,83.75,62,0,4.72
259,Burnie,AU,2021-07-17 21:16:07,-41.0667,145.9167,48.6,77,51,11.05
260,Bulgan,MN,2021-07-17 21:16:07,48.8125,103.5347,62.65,88,94,1.16
261,Coihaique,CL,2021-07-17 21:16:08,-45.5752,-72.0662,41.61,70,75,3.44
262,Norfolk,US,2021-07-17 21:16:08,42.1668,-71.2495,82.11,84,20,1.01
263,Starychi,UA,2021-07-17 21:16:08,49.98,23.5585,77.49,76,94,2.91
264,Saint Andrews,US,2021-07-17 21:16:09,34.0454,-81.1293,93.52,79,75,4.61
265,Souillac,MU,2021-07-17 21:09:52,-20.5167,57.5167,72.36,78,29,14.79
266,Manokwari,ID,2021-07-17 21:16:09,-0.8667,134.0833,75.63,93,100,7.85
267,Mackenzie,CA,2021-07-17 21:15:13,55.2999,-123.1698,64.08,51,97,5.73
268,Wad Rawah,SD,2021-07-17 21:16:10,15.1603,33.1397,77.31,76,100,16.37
269,Gizo,SB,2021-07-17 21:16:10,-8.103,156.8419,82.49,80,100,13.35
270,Pochutla,MX,2021-07-17 21:16:10,15.7432,-96.4661,91.81,56,100,6.85
271,Shihezi,CN,2021-07-17 21:16:11,44.3,86.0333,73.67,33,100,2.04
272,Macau,MO,2021-07-17 21:16:11,22.2006,113.5461,82.2,89,40,18.41
273,Gambela,ET,2021-07-17 21:16:12,8.25,34.5833,69.48,97,100,2.93
274,Millinocket,US,2021-07-17 21:16:13,45.6573,-68.7098,80.42,59,1,4.61
275,Rockport,US,2021-07-17 21:16:14,28.0206,-97.0544,91.51,69,1,4.0
276,Maldonado,UY,2021-07-17 21:12:26,-34.6667,-54.9167,50.23,61,4,17.16
277,Arraial Do Cabo,BR,2021-07-17 21:09:40,-22.9661,-42.0278,69.66,88,20,5.75
278,Kholodnyy,RU,2021-07-17 21:16:14,62.7167,147.95,53.87,87,98,1.34
279,Vanimo,PG,2021-07-17 21:16:15,-2.6741,141.3028,77.49,88,100,3.87
280,Nemuro,JP,2021-07-17 21:16:15,43.3236,145.575,61.27,88,99,1.34
281,Grindavik,IS,2021-07-17 21:09:44,63.8424,-22.4338,48.67,93,90,5.75
282,Turhal,TR,2021-07-17 21:16:16,40.3875,36.0811,75.18,73,0,3.09
283,Conakry,GN,2021-07-17 21:14:50,9.538,-13.6773,78.67,84,100,11.12
284,Tvoroyri,FO,2021-07-17 21:16:16,61.5556,-6.8111,49.39,92,0,13.89
285,Neya,RU,2021-07-17 21:16:16,58.2972,43.8681,64.67,94,67,3.31
286,Coahuayana,MX,2021-07-17 21:16:17,18.7333,-103.6833,85.48,66,99,4.27
287,Swidwin,PL,2021-07-17 21:16:17,53.7746,15.7767,69.96,93,8,5.91
288,Salvador,SV,2021-07-17 21:16:18,13.8333,-88.9167,85.05,51,2,2.33
289,Formosa,AR,2021-07-17 21:16:18,-26.1775,-58.1781,66.18,63,0,8.05
